Frequency   Amplitude
1003.97	0.454575
1004.75	0.453995
1004.22	0.454250
1047.23	0.458402
1046.78	0.458857
1046.93	0.458840
1097.26	0.457996
1096.54	0.458137
1097.48	0.457863
1097.74	0.457899
1146.59	0.457339
1147.21	0.457361
1148.43	0.456567
1198.56	0.455923
1198.10	0.455995
1197.97	0.456422
1248.36	0.455396
1248.51	0.455038
1248.29	0.455389
1249.03	0.455050
1299.02	0.454176
1299.02	0.454255
1299.12	0.454077
1349.37	0.453242
1349.00	0.453370
1349.76	0.453133
1399.91	0.452083
1400.38	0.452126
1399.71	0.452166
1399.52	0.452409
1449.64	0.451539
1450.14	0.451353
1450.32	0.451155
1500.12	0.450325
1500.07	0.450248
1500.40	0.450406
1550.11	0.449447
1550.69	0.449453
1550.10	0.449552
1550.19	0.449414
1600.21	0.448685
1600.11	0.448470
1600.52	0.448566
1650.05	0.447741
1649.75	0.447845
1649.75	0.447815
1700.25	0.446698
1700.25	0.446856
1699.92	0.446638
1700.05	0.446677
1749.82	0.445844
1750.16	0.445686
1750.13	0.445629
1800.45	0.444519
1800.30	0.444541
1800.59	0.444582
1800.55	0.444417
1850.25	0.443316
1850.33	0.443474
1850.34	0.443463
1900.49	0.442177
1900.56	0.442149
1900.61	0.442236
1950.37	0.440981
1950.04	0.440939
1950.36	0.440938
1950.48	0.440852
2000.11	0.439710
2000.49	0.439709
2000.08	0.439676
2050.14	0.438288
2050.20	0.438381
2050.25	0.438340
2099.99	0.436848
2100.02	0.437058
2100.14	0.437011
2100.17	0.436916
2149.94	0.435381
2150.11	0.435484
2150.20	0.435397
2199.95	0.434048
2200.05	0.433993
2199.99	0.434034
2249.98	0.432556
2250.03	0.432757
2250.19	0.432639
2250.11	0.432496
2300.04	0.431129
2299.88	0.431097
2299.93	0.431148
2349.85	0.429297
2350.00	0.429330
2349.70	0.429340
2400.06	0.427724
2400.03	0.427534
2400.03	0.427546
2400.08	0.427646
2449.91	0.425942
2449.84	0.425667
2449.79	0.425781
2500.00	0.423996
2500.06	0.423956
2500.14	0.424044
2500.07	0.424005
2549.83	0.422135
2549.97	0.422121
2549.98	0.422100
2600.28	0.420057
2600.09	0.420157
2600.05	0.420244
2600.13	0.420128
2649.94	0.418098
2649.76	0.418005
2650.15	0.418064
2700.05	0.416056
2699.94	0.416049
2700.05	0.416091
2749.88	0.413787
2750.10	0.413785
2750.02	0.413772
2750.11	0.413671
2799.88	0.411413
2799.49	0.411555
2799.83	0.411571
2850.01	0.409177
2850.02	0.409215
2849.94	0.409260
2899.82	0.406831
2899.70	0.406859
2900.02	0.406907
2899.95	0.406864
2950.09	0.404315
2949.82	0.404463
2949.98	0.404216
2999.20	0.401903
3000.00	0.401926
3000.08	0.401717
3050.08	0.399241
3050.27	0.399262
3050.03	0.399052
3050.14	0.399186
3100.03	0.396549
3099.76	0.396670
3099.88	0.396594
3150.00	0.393724
3149.69	0.393822
3149.85	0.393701
3199.79	0.390801
3199.88	0.390715
3200.25	0.390728
3199.90	0.390817
3249.78	0.387784
3249.84	0.387710
3249.81	0.387704
3299.97	0.384770
3300.13	0.384617
3299.94	0.384659
3349.91	0.381319
3349.90	0.381432
3349.77	0.381421
3400.01	0.378066
3400.09	0.378138
3400.20	0.378078
3400.04	0.378116
3449.93	0.374788
3450.03	0.374701
3450.08	0.374711
3499.52	0.371227
3499.82	0.371183
3499.88	0.371185
3549.94	0.367551
3549.98	0.367309
3549.73	0.367486
3549.89	0.367446
3599.86	0.363756
3600.02	0.363750
3600.09	0.363764
3649.90	0.359910
3649.92	0.359879
3650.13	0.359794
3699.89	0.355786
3699.94	0.355917
3699.84	0.355944
3699.94	0.355899
3750.12	0.351691
3749.96	0.351801
3749.94	0.351844
3800.11	0.347579
3799.83	0.347536
3799.83	0.347655
3849.97	0.343172
3850.10	0.343202
3849.97	0.343195
3850.04	0.343178
3899.70	0.338833
3899.81	0.338928
3899.86	0.338736
3950.08	0.334116
3949.94	0.334108
3949.84	0.334154
3999.92	0.329456
3999.93	0.329326
3999.86	0.329454
4049.83	0.324412
4049.88	0.324477
4049.96	0.324470
4049.73	0.324556
4099.81	0.319549
4099.96	0.319502
4100.05	0.319480
4149.89	0.314340
4149.87	0.314349
4149.93	0.314291
4200.11	0.309084
4199.82	0.309118
4199.83	0.308968
4199.97	0.309174
4249.89	0.303599
4250.05	0.303572
4249.99	0.303593
4300.06	0.298020
4299.67	0.298078
4299.71	0.298086
4350.07	0.292347
4349.99	0.292164
4349.92	0.292215
4349.93	0.292327
4399.82	0.286462
4399.80	0.286467
4399.86	0.286528
4450.07	0.280333
4449.81	0.280397
4450.00	0.280280
4499.93	0.274210
4499.73	0.274227
4499.75	0.274361
4499.67	0.274328
4549.89	0.268088
4550.02	0.267930
4550.02	0.268006
4599.83	0.261639
4600.06	0.261490
4600.10	0.261509
4649.95	0.254994
4649.71	0.255013
4649.85	0.254974
4700.14	0.248228
4699.84	0.248319
4699.58	0.248421
4699.94	0.248295
4749.85	0.241472
4749.93	0.241421
4749.67	0.241385
4799.68	0.234593
4799.95	0.234404
4799.97	0.234572
4849.91	0.227339
4849.91	0.227445
4850.04	0.227331
4849.65	0.227434
4900.18	0.220226
4900.55	0.220041
4899.79	0.220259
4949.55	0.213022
4949.63	0.212911
4949.83	0.212881
5000.21	0.205602
4999.77	0.205499
5000.22	0.205450
5000.01	0.205412
5050.16	0.197985
5050.10	0.198068
5049.67	0.198030
5099.73	0.190389
5100.15	0.190373
5100.26	0.190404
5149.90	0.182794
5149.49	0.182822
