Frequency	Amplitude
1001.23	0.471696
1000.52	0.472222
1000.85	0.471875
1048.45	0.473346
1048.9	0.473209
1049.47	0.472874
1049.11	0.473028
1100.08	0.47215
1100	      0.472182
1100.06	0.471966
1149.41	0.47187
1150.23	0.471835
1149.67	0.471819
1200.45	0.471026
1199.29	0.471536
1199.12	0.471457
1200.36	0.471111
1250.16	0.470962
1250.41	0.470841
1250.38	0.470672
1300.44	0.470264
1299.87	0.470419
1300.3	0.470394
1351.01	0.469693
1350.83	0.469709
1350.44	0.469756
1350.3	0.469969
1400.9	0.468929
1400.63	0.469101
1400.06	0.469243
1451.57	0.468311
1451.42	0.468345
1451.36	0.46818
1500.55	0.467809
1500.39	0.467873
1500.72	0.467868
1500.62	0.467849
1550.47	0.467455
1550.31	0.467377
1550.41	0.467318
1600.5	0.466998
1600.11	0.46706
1600.2	0.467003
1649.69	0.466614
1649.79	0.466756
1649.87	0.466715
1649.39	0.466674
1699.68	0.466032
1699.73	0.466091
1699.88	0.46614
1749.11	0.465585
1749.66	0.465695
1749.14	0.465499
1799.66	0.46485
1799.44	0.464838
1799.44	0.464851
1799.49	0.464921
1849.34	0.46394
1849.72	0.464066
1849.69	0.464151
1899.73	0.463437
1899.56	0.463436
1899.9	0.463577
1899.74	0.463303
1949.55	0.46272
1949.81	0.462683
1949.78	0.462843
1999.63	0.461902
1999.54	0.46211
1999.57	0.462062
2049.4	0.461203
2049.81	0.461186
2049.92	0.461229
2049.63	0.461133
2099.73	0.460533
2099.52	0.460667
2099.84	0.460685
2149.56	0.459533
2149.86	0.459744
2149.82	0.459694
2199.66	0.458772
2199.8	0.458825
2199.88	0.45883
2199.89	0.458773
2249.95	0.457976
2249.92	0.457933
2249.75	0.457867
2299.96	0.456899
2299.88	0.456924
2300	      0.45697
2349.62	0.455962
2349.91	0.455999
2349.78	0.456015
2349.77	0.455874
2400.05	0.454822
2400	      0.455094
2399.88	0.455099
2449.92	0.453938
2449.85	0.453951
2449.89	0.453905
2499.9	0.452893
2499.99	0.452821
2499.97	0.452873
2500.04	0.452776
2549.72	0.45174
2549.95	0.451607
2549.94	0.451711
2600.09	0.450458
2599.88	0.450568
2600.25	0.450503
2649.99	0.449308
2650	      0.449306
2650.12	0.449235
2650.12	0.449172
2699.96	0.448141
2700.12	0.448119
2700.06	0.448043
2749.95	0.446722
2749.84	0.446655
2749.83	0.446778
2800.03	0.4453
2799.56	0.445415
2799.82	0.445397
2799.81	0.445388
2849.93	0.443913
2850.01	0.443888
2850.19	0.443946
2900	      0.442406
2899.93	0.442219
2899.92	0.442258
2950.09	0.440964
2950.13	0.440969
2949.99	0.440817
2949.96	0.440832
2999.78	0.439177
2999.89	0.439173
2999.81	0.43935
3049.99	0.437527
3050.02	0.437564
3050.03	0.437632
3100.08	0.435892
3099.69	0.435808
3100	      0.43572
3099.94	0.435765
3149.85	0.433904
3149.98	0.434056
3149.87	0.433916
3200.14	0.431955
3199.72	0.431927
3199.97	0.432016
3249.84	0.430027
3249.74	0.430113
3249.81	0.430147
3249.8	0.430202
3300.06	0.427972
3300.07	0.427928
3299.89	0.428057
3349.81	0.426091
3349.83	0.425994
3349.76	0.425813
3399.97	0.423588
3400.02	0.423842
3400.01	0.423464
3440.36	0.421526
3449.96	0.421215
3449.88	0.421533
3449.83	0.421301
3499.63	0.418915
3499.85	0.418812
3499.83	0.418868
3549.88	0.41632
3549.94	0.416256
3549.97	0.416192
3599.87	0.413562
3599.8	0.413571
3599.72	0.413603
3599.75	0.413569
3650.12	0.410898
3650.18	0.410796
3649.92	0.410912
3700.04	0.407851
3699.87	0.407962
3699.74	0.408015
3749.85	0.405072
3749.89	0.404947
3749.95	0.405096
3749.73	0.404901
3799.67	0.4019
3799.85	0.401829
3799.72	0.401806
3849.76	0.398638
3850.11	0.398532
3850.01	0.398596
3900.12	0.395168
3899.9	0.395137
3900.22	0.395197
3899.71	0.395284
3949.68	0.391793
3949.76	0.391613
3949.97	0.391718
3999.98	0.387974
3999.78	0.387979
4000.02	0.38789
4049.93	0.384221
4049.74	0.383993
4049.75	0.384156
4049.91	0.384203
4100.06	0.380103
4099.87	0.379979
4100.09	0.380195
4150	      0.375767
4149.92	0.375649
4149.75	0.375758
4200.06	0.371369
4199.94	0.371383
4199.96	0.371413
4199.9	0.37139
4249.99	0.366934
4250.13	0.366924
4250.07	0.367052
4299.91	0.362236
4299.78	0.362051
4299.85	0.362234
4349.9	0.357173
4349.73	0.35726
4349.95	0.357118
4349.96	0.357224
4399.76	0.352094
4400.12	0.352095
4399.88	0.351995
4449.81	0.346665
4449.86	0.346643
4449.97	0.346708
4499.81	0.341038
4499.82	0.341036
4499.85	0.341102
4499.84	0.341078
4549.94	0.33525
4550.06	0.335401
4550.06	0.335187
4599.87	0.329342
4599.74	0.329158
4599.95	0.329165
4649.68	0.322899
4649.7	0.322912
4649.99	0.32282
4649.88	0.322853
4699.66	0.316143
4699.91	0.316288
4700.05	0.316352
4749.74	0.309491
4749.82	0.309552
4749.94	0.309447
4800.01	0.302502
4799.84	0.302506
4800.06	0.302598
4849.86	0.295259
4849.84	0.295158
4849.84	0.295189
4849.65	0.295169
4899.91	0.287819
4900.3	0.287741
4899.83	0.287718
4950.37	0.279911
4949.97	0.279935
4949.8	0.279992
5000.18	0.271887
4999.99	0.271792
5000.22	0.271868
5000.33	0.271857
5050.12	0.263513
5049.66	0.263522
5049.89	0.263576
5099.7	0.255031
5099.71	0.254917
5099.58	0.254957
5149.91	0.246132
5150.23	0.246072
5149.98	0.246172
5149.93	0.246157
5200	      0.237123
5199.95	0.237135
5199.88	0.237208
