Frequency	Amplitude
5249.96	0.227969
5249.69	0.227956
5250.14	0.227843
5299.91	0.218501
5300.02	0.218479
5300.28	0.218519
5299.87	0.218355
5350.33	0.208799
5349.76	0.208844
5349.99	0.208862
5399.86	0.199142
5399.67	0.199092
5399.9	0.199058
5449.8	0.189126
5450.1	0.189102
5449.55	0.188952
5449.94	0.189113
5499.53	0.179163
5499.91	0.179059
5499.81	0.17902
5549.49	0.169065
5550.09	0.168976
5549.86	0.168809
5599.53	0.158942
5599.75	0.158845
5600.05	0.158801
5599.82	0.158852
5649.77	0.148831
5650.29	0.148774
5649.97	0.148789
5699.85	0.138863
5699.7	0.138741
5699.51	0.138821
5749.81	0.12911
5750.32	0.129041
5749.7	0.129055
5749.65	0.129126
5800.15	0.119707
5799.6	0.119677
5799.79	0.119785
5849.73	0.110785
5850.45	0.110786
5849.85	0.110857
5899.92	0.102496
5899.37	0.102562
5899.83	0.102616
5899.83	0.102446
5949.97	0.0950242
5950.17	0.0950847
5950.63	0.095008
5999.94	0.0886144
5999.48	0.0887009
5999.9	0.088661
6050.07	0.0836155
6049.62	0.0836849
6049.53	0.0836432
6099.55	0.0802519
6099.41	0.0802311
6100.63	0.0802906
6099.76	0.0802255
6149.71	0.0785975
6150.15	0.0786059
6149.67	0.0785807
6200.16	0.0786865
6200.04	0.0787596
6200.28	0.0787529
6250.22	0.0807237
6249.62	0.0806295
6249.59	0.0806318
6249.82	0.0808111
6299	      0.0843914
6300.19	0.0843994
6299.32	0.0844103
6349.85	0.0894121
6349.78	0.0894202
6350.06	0.089412
6399.62	0.0955289
6399.62	0.0955777
6400.27	0.0956725
6401.07	0.095667
6449.59	0.102554
6448.85	0.102519
6449.71	0.102578
6500.41	0.110289
6499.54	0.110198
6500.44	0.11022
6549.58	0.118213
6549.75	0.118214
6550.03	0.118251
6549.49	0.118295
6599.65	0.126585
6599.74	0.126641
6599.83	0.126534
6649.92	0.13506
6649.64	0.135144
6649.76	0.135041
6699.64	0.143596
6699.8	0.143505
6699.51	0.143566
6699.68	0.143681
6750.19	0.152212
6749.88	0.152224
6749.67	0.152338
6799.99	0.160881
6800.13	0.160802
6800.02	0.160841
6849.71	0.169407
6849.42	0.169276
6850.02	0.169359
6849.78	0.169501
6900.02	0.177709
6899.51	0.177779
6899.6	0.177769
6949.16	0.18609
6950.33	0.186049
6950.13	0.186105
6999.89	0.194174
7000.07	0.194227
7000.1	0.194229
7000.07	0.194262
7049.94	0.202225
7049.63	0.202266
7049.67	0.202182
7100.05	0.210007
7099.85	0.209983
7100.01	0.210083
7150.22	0.217623
7150.18	0.217623
7150.25	0.2177
7150.1	0.21754
7199.87	0.224926
7199.88	0.224946
7199.77	0.224947
7249.69	0.232122
7249.92	0.232211
7249.99	0.232046
7299.54	0.239133
7300.15	0.239114
7299.83	0.239024
7349.86	0.245901
7349.95	0.245786
7350.09	0.245885
7349.63	0.245834
7399.42	0.252341
7399.97	0.252496
7399.71	0.252459
7449.81	0.258988
7449.95	0.258918
7449.74	0.258949
7499.92	0.265222
7499.88	0.265194
7499.86	0.264999
7499.87	0.265078
7550	      0.27102
7549.79	0.271057
7549.88	0.270926
7599.94	0.276961
7599.77	0.276751
7599.76	0.276743
7650.08	0.282479
7650.1	0.282416
7649.93	0.282408
7650.36	0.282412
7699.84	0.287785
7699.67	0.287822
7699.85	0.287791
7749.82	0.293229
7749.81	0.293282
7749.87	0.293268
7799.98	0.29824
7799.77	0.298235
7799.82	0.298072
7800.02	0.298197
7849.63	0.303147
7849.74	0.303014
7849.71	0.302982
7899.5	0.307781
7899.92	0.307766
7899.51	0.30789
7899.61	0.307859
7949.89	0.312371
7949.62	0.312435
7949.89	0.312307
7999.63	0.31691
7999.82	0.31684
7999.84	0.316872
8049.79	0.321197
8049.82	0.321219
8049.73	0.321186
8049.65	0.321163
8099.81	0.325338
8099.84	0.325335
8099.62	0.325389
8150.07	0.329403
8150.03	0.32926
8149.77	0.329399
8199.8	0.333263
8199.78	0.333308
8199.71	0.333126
8199.66	0.333297
8249.74	0.337016
8249.99	0.336991
8249.8	0.336927
8299.81	0.34062
8299.76	0.340591
8299.61	0.340548
8349.76	0.344072
8349.83	0.344359
8349.75	0.344177
8350.11	0.344199
8399.86	0.347562
8399.88	0.347556
8399.68	0.34755
8449.95	0.350951
8449.94	0.350875
8449.82	0.350868
8499.93	0.35416
8499.68	0.353936
8499.65	0.353854
8549.47	0.357009
8549.56	0.356925
8549.9	0.357006
8549.85	0.356879
8599.73	0.35997
8599.76	0.359974
8599.86	0.360018
8649.72	0.362873
8649.81	0.362829
8649.85	0.362758
8699.85	0.36561
8699.99	0.365537
8699.73	0.365723
8699.85	0.365643
8749.76	0.368403
8749.78	0.368549
8749.77	0.368327
8800.1	0.371086
8799.98	0.371173
8799.72	0.371086
8849.73	0.373493
8849.78	0.373663
8849.9	0.373649
8849.74	0.373618
8899.97	0.376048
8900	      0.375955
8899.9	0.376146
8949.76	0.378348
8949.74	0.37853
8949.74	0.378396
8999.55	0.380819
8999.51	0.380764
8999.54	0.380845
8999.94	0.380679
9049.72	0.383057
9049.94	0.382861
9050.05	0.38288
9099.6	0.385061
9099.77	0.384957
9099.55	0.384957
9149.89	0.387264
9149.9	0.387238
9149.83	0.387334
9149.87	0.387286
9199.52	0.388992
9199.78	0.389257
9199.87	0.389332
9250.03	0.391127
9250.1	0.391086
9250.04	0.391111
9299.68	0.393025
9299.47	0.392974
9299.73	0.393037
9299.73	0.3931
9349.74	0.394938
9349.61	0.394886
9349.87	0.394971
9399.63	0.396803
9400	      0.396563
9399.89	0.396575
9449.57	0.398443
9449.85	0.398402
9449.44	0.398268
9449.62	0.398561
9499.79	0.400222
9499.96	0.400042
9499.87	0.400079
9549.88	0.401714
9549.84	0.401791
9549.75	0.401649
9599.89	0.40325
9599.81	0.403258
9599.98	0.403294
9599.91	0.403329
9649.88	0.404963
9649.74	0.404686
9649.72	0.404852
9699.66	0.406485
9699.48	0.406294
9699.73	0.406367
9749.75	0.40788
9749.93	0.407757
9749.72	0.407799
9749.63	0.407902
9799.72	0.409357
9799.71	0.409407
9799.54	0.409224
9849.72	0.410711
9849.71	0.410696
9849.6	0.410805
9899.75	0.412119
9899.51	0.411918
9899.65	0.412001
9949.71	0.413414
9949.94	0.413381
9949.87	0.41331
9949.73	0.413448
9999.75	0.414563
9999.92	0.414519
9999.69	0.414644
10049.8	0.415974
10050	      0.416
10050.1	0.415928
10099.7	0.417147
10099.9	0.417152
10100	      0.417207
10099.9	0.417097
10149.7	0.418235
10149.7	0.418287
10149.5	0.418275
10200	      0.419573
10199.8	0.419552
10199.9	0.419492
10249.8	0.420542
10249.7	0.420558
10249.6	0.420512
10249.8	0.420578
10299.8	0.421649
10300	      0.421612
10299.7	0.421667
10349.9	0.42269
10349.8	0.422557
10349.6	0.422569
10399.9	0.423685
10400	      0.423892
10400.1	0.42363
10399.7	0.423645
10449.6	0.424581
10449.8	0.424633
10449.7	0.424705
10499.5	0.425687
10499.9	0.42556
10499.7	0.425667
10549.9	0.426578
10549.8	0.426568
10549.8	0.426475
10599.7	0.427426
10599.6	0.427576
10599.8	0.427438
10599.7	0.427527
10649.9	0.428546
10649.8	0.428447
10649.9	0.428484
10699.6	0.429359
10699.8	0.429474
10699.7	0.42944
10749.9	0.430202
10750	      0.430138
10749.9	0.430231
10749.9	0.430249
10799.8	0.431142
10799.4	0.430951
10799.7	0.430948
10849.7	0.431833
10849.8	0.431621
10849.4	0.432054
10900	      0.432666
10899.9	0.43262
10899.7	0.432675
10899.5	0.432848
10949.5	0.433464
10949.6	0.433373
10949.6	0.433659
10999.7	0.434157
10999.8	0.434231
10999.8	0.434194
11049.6	0.435034
11049.6	0.434952
11049.6	0.435031
11049.8	0.43484
11099.9	0.4358
11099.6	0.435649
11100	      0.435715
11149.7	0.436423
11149.7	0.43642
11149.6	0.436416
11199.9	0.437089
11199.8	0.437309
11199.7	0.437047
11199.8	0.437112
11249.7	0.437848
11249.9	0.4377
11250	      0.437766
11299.7	0.438531
11299.7	0.438586
11299.6	0.438459
11349.8	0.439084
11349.8	0.43916
11349.7	0.439045
11399.6	0.439776
11399.7	0.439706
11399.7	0.439652
11399.7	0.439805
11449.9	0.44045
11449.8	0.440457
11449.8	0.440532
11499.9	0.441058
11499.8	0.441121
11499.7	0.441147
11549.9	0.441565
11549.7	0.441629
11549.8	0.441582
11549.6	0.441906
11599.8	0.442124
11599.7	0.442335
11599.7	0.442224
11649.7	0.442838
11649.6	0.442739
11649.4	0.44281
11699.8	0.443453
11699.6	0.44346
11699.8	0.443209
11699.8	0.443412
11749.6	0.443961
11749.6	0.443792
11749.9	0.443945
11799.8	0.44451
11799.6	0.444443
11799.8	0.44445
11849.7	0.444977
11849.8	0.445018
11849.5	0.445029
11849.6	0.444998
11899.8	0.445412
11899.8	0.445409
11899.8	0.445477
11949.7	0.446025
11949.3	0.445997
11949.6	0.446069
11999.7	0.446583
11999.9	0.446376
11999.9	0.446441
11999.7	0.44653
12049.8	0.447052
12049.7	0.447012
12049.6	0.446946
12099.9	0.447448
12099.6	0.447508
12099.6	0.447456
12150.1	0.448068
12149.8	0.447913
12149.6	0.447965
12149.8	0.447862
12199.5	0.448297
12199.5	0.448325
12199.9	0.448456
12249.8	0.448846
12249.7	0.448725
12249.6	0.448805
12299.7	0.449285
12299.8	0.449185
12299.6	0.449245
12299.6	0.449256
12349.8	0.449734
12349.8	0.449792
12349.8	0.449898
12399.8	0.450259
12399.7	0.450133
12399.8	0.450131
12449.8	0.450689
12449.6	0.450706
12449.7	0.45065
12449.5	0.450508
12499.9	0.451016
12499.7	0.451123
12499.6	0.451125
