Frequency	Amplitude
5750.15	0.222994
5799.93	0.208976
5800.2	0.208777
5800.2	0.208718
5849.91	0.19476
5849.78	0.194791
5849.71	0.194698
5849.82	0.194684
5899.23	0.18133
5900.3	0.181135
5899.84	0.181181
5950.11	0.168647
5950.47	0.168554
5949.94	0.168491
5999.52	0.157508
5999.72	0.157555
5999.87	0.157558
5999.15	0.157585
6049.89	0.148382
6050.35	0.148469
6049.56	0.148406
6099.46	0.141719
6100.15	0.141764
6100.08	0.141822
6150	      0.137958
6149.6	0.138047
6150.23	0.137867
6149.67	0.138045
6200.09	0.137281
6200.04	0.137253
6199.58	0.137289
6249.58	0.13969
6249.45	0.139808
6249.98	0.139751
6299.74	0.14511
6299.42	0.144977
6299.95	0.144987
6299.81	0.144885
6350.03	0.152407
6349.97	0.152409
6349.78	0.152504
6399.41	0.161843
6400.08	0.161916
6399.51	0.16184
6450.02	0.172386
6450.23	0.172403
6449.68	0.17249
6449.95	0.172585
6500.19	0.183898
6500.16	0.183785
6500.49	0.183893
6549.44	0.195861
6549.81	0.195828
6550.35	0.195929
6599.8	0.208112
6599.98	0.208132
6599.78	0.208183
6599.76	0.208098
6649.84	0.220322
6650.11	0.220304
6650.1	0.220295
6699.61	0.232306
6699.86	0.232175
6699.63	0.232105
6749.77	0.244052
6749.68	0.243971
6749.87	0.243909
6749.82	0.243983
6799.82	0.255118
6799.59	0.255315
6799.89	0.255245
6849.86	0.266254
6850.06	0.266191
6849.88	0.266282
6899.92	0.276692
6899.89	0.276668
6899.73	0.276759
6899.81	0.27677
6950	      0.286797
6949.82	0.286739
6950.15	0.286846
6999.82	0.296488
6999.68	0.296396
6999.77	0.296416
7049.81	0.305453
7050.21	0.305709
7049.88	0.305583
7049.67	0.305448
7099.92	0.314099
7099.6	0.31435
7099.68	0.314148
7149.8	0.322486
7150.13	0.32238
7150.09	0.322526
7200.28	0.330166
7199.93	0.329925
7200.14	0.330135
7199.66	0.329965
7250.05	0.337184
7249.66	0.337252
7249.64	0.33728
7299.67	0.344119
7299.8	0.344127
7300.03	0.344175
7349.79	0.350538
7349.76	0.35049
7349.79	0.350549
7349.63	0.350447
7400.09	0.356795
7400.02	0.356745
7399.57	0.356531
7449.92	0.362374
7449.99	0.362404
7449.8	0.362329
7500.05	0.368135
7499.97	0.367918
7499.87	0.367856
7499.6	0.367749
7549.83	0.373151
7550.01	0.372918
7549.85	0.372922
7599.58	0.377716
7599.86	0.377916
7599.89	0.377844
7649.96	0.38248
7649.9	0.38235
